follower_id,repo_id,rating
81,1107,1
81,3008,1
81,4191,1
81,7812,1
81,13511,1
81,14128,1
81,22940,1
81,27595,1
81,39371,1
81,39750,1
81,39750,1
81,75736,1
81,85464,1
81,107475,1
81,145663,1
81,164194,1
81,169339,1
81,170357,1
81,271748,1
81,555255,1
81,910916,1
81,1021263,1
81,1426418,1
81,3230963,1
81,3388896,1
81,4751038,1
81,5065988,1
84,1107,1
84,3008,1
84,4191,1
84,7812,1
84,13511,1
84,14128,1
84,22940,1
84,27595,1
84,39371,1
84,39750,1
84,39750,1
84,75736,1
84,85464,1
84,107475,1
84,145663,1
84,164194,1
84,169339,1
84,170357,1
84,271748,1
84,555255,1
84,910916,1
84,1021263,1
84,1426418,1
84,3230963,1
84,3388896,1
84,4751038,1
84,5065988,1
198,663,1
198,4788,1
198,12114,1
198,160833,1
198,197528,1
198,431161,1
198,4635530,1
247,208,1
247,390,1
247,1043,1
247,1043,1
247,1043,1
247,1043,1
247,1085,1
247,1085,1
247,1115,1
247,1115,1
247,1115,1
247,1199,1
247,1226,1
247,1226,1
247,1226,1
247,1282,1
247,1490,1
247,2160,1
247,3164,1
247,3816,1
247,4779,1
247,4793,1
247,4959,1
247,5022,1
247,5167,1
247,5167,1
247,5184,1
247,5187,1
247,5575,1
247,6205,1
247,6456,1
247,6606,1
247,6606,1
247,7030,1
247,7567,1
247,7803,1
247,8566,1
247,8686,1
247,9705,1
247,9705,1
247,9819,1
247,10274,1
247,10505,1
247,10505,1
247,10505,1
247,10735,1
247,12798,1
247,12884,1
247,13389,1
247,13786,1
247,13816,1
247,13997,1
247,14005,1
247,14037,1
247,14692,1
247,15724,1
247,15747,1
247,15844,1
247,15870,1
247,16735,1
247,17473,1
247,17918,1
247,18719,1
247,20839,1
247,22724,1
247,22791,1
247,23559,1
247,23866,1
247,24177,1
247,24177,1
247,24728,1
247,24846,1
247,25011,1
247,25011,1
247,25011,1
247,25011,1
247,27509,1
247,28128,1
247,28304,1
247,28304,1
247,30500,1
247,31773,1
247,32454,1
247,34675,1
247,35902,1
247,36741,1
247,37144,1
247,37144,1
247,37144,1
247,37971,1
247,38351,1
247,38606,1
247,38606,1
247,39474,1
247,39604,1
247,40023,1
247,41217,1
247,42745,1
247,42745,1
247,42745,1
247,44187,1
247,44548,1
247,45658,1
247,45747,1
247,45985,1
247,48319,1
247,50986,1
247,51579,1
247,60228,1
247,60372,1
247,62715,1
247,64224,1
247,64984,1
247,66468,1
247,72907,1
247,74212,1
247,76958,1
247,79112,1
247,81468,1
247,84684,1
247,89727,1
247,90825,1
247,94545,1
247,101268,1
247,104560,1
247,106161,1
247,120033,1
247,126446,1
247,127107,1
247,127127,1
247,130897,1
247,139922,1
247,141893,1
247,142240,1
247,142393,1
247,143924,1
247,148771,1
247,150877,1
247,152177,1
247,154552,1
247,157258,1
247,158748,1
247,160071,1
247,160109,1
247,164981,1
247,168931,1
247,170067,1
247,189379,1
247,190326,1
247,192661,1
247,193336,1
247,197116,1
247,203516,1
247,204666,1
247,205707,1
247,206046,1
247,208698,1
247,212685,1
247,218840,1
247,229075,1
247,244113,1
247,244113,1
247,247047,1
247,257637,1
247,260846,1
247,265736,1
247,270754,1
247,298586,1
247,319412,1
247,319746,1
247,340378,1
247,349580,1
247,373783,1
247,388525,1
247,397192,1
247,424588,1
247,463978,1
247,464371,1
247,503140,1
247,504952,1
247,532480,1
247,541853,1
247,546511,1
247,583607,1
247,613348,1
247,622343,1
247,724360,1
247,743436,1
247,754487,1
247,769319,1
247,783537,1
247,850120,1
247,880536,1
247,882647,1
247,922195,1
247,931243,1
247,934215,1
247,971565,1
247,1016702,1
247,1170523,1
247,1182581,1
247,1351667,1
247,1405443,1
247,1412567,1
247,1442218,1
247,1476950,1
247,1771103,1
247,1771103,1
247,2146726,1
247,2197097,1
247,2366972,1
247,2604570,1
247,2975252,1
247,3209543,1
247,3314875,1
247,3940099,1
247,4694101,1
247,4901594,1
247,5069729,1
247,5108165,1
247,5125063,1
247,5393989,1
266,340,1
266,663,1
266,1554,1
266,2264,1
266,4095,1
266,5022,1
266,6947,1
266,7030,1
266,7148,1
266,9955,1
266,10045,1
266,10502,1
266,14005,1
266,15385,1
266,18860,1
266,23043,1
266,26721,1
266,27224,1
266,27871,1
266,32310,1
266,33164,1
266,33216,1
266,33357,1
266,35704,1
266,35731,1
266,37788,1
266,44141,1
266,54997,1
266,62264,1
266,67453,1
266,71754,1
266,86669,1
266,89959,1
266,102433,1
266,118887,1
266,122966,1
266,123472,1
266,124402,1
266,124816,1
266,129770,1
266,130561,1
266,134844,1
266,141596,1
266,142160,1
266,144978,1
266,168423,1
266,170977,1
266,193336,1
266,213730,1
266,275505,1
266,547383,1
266,559394,1
266,582120,1
266,647783,1
266,730877,1
266,805554,1
266,830527,1
266,1042872,1
266,1358566,1
266,1399210,1
266,1480779,1
266,2434519,1
271,58485,1
300,934,1
300,1107,1
300,1107,1
300,1648,1
300,1648,1
300,1648,1
300,1648,1
300,1648,1
300,1648,1
300,1832,1
300,1958,1
300,2156,1
300,2722,1
300,2864,1
300,2864,1
300,2869,1
300,3798,1
300,3798,1
300,4101,1
300,4101,1
300,4135,1
300,4569,1
300,6861,1
300,7669,1
300,8248,1
300,8965,1
300,8965,1
300,9150,1
300,9297,1
