follower_id,repo_id,rating,,
26,40220,1,,
26,105509,1,,
26,109348,1,,
26,1774859,1,,
47,331,1,,
47,348,1,,
47,519,1,,
47,519,1,,
47,519,1,,
47,766,1,,
47,766,1,,
47,770,1,,
47,837,1,,
47,882,1,,
47,1122,1,,
47,1122,1,,
47,1273,1,,
47,1273,1,,
47,1290,1,,
47,1431,1,,
47,1954,1,,
47,1954,1,,
47,1996,1,,
47,1996,1,,
47,2045,1,,
47,2122,1,,
47,2344,1,,
47,2558,1,,
47,2770,1,,
47,2772,1,,
47,2890,1,,
47,3457,1,,
47,3855,1,,
47,4452,1,,
47,6009,1,,
47,6093,1,,
47,6093,1,,
47,6151,1,,
47,6151,1,,
47,6293,1,,
47,6360,1,,
47,6882,1,,
47,6963,1,,
47,7227,1,,
47,7580,1,,
47,8029,1,,
47,8109,1,,
47,8292,1,,
47,8329,1,,
47,8343,1,,
47,8348,1,,
47,8366,1,,
47,8366,1,,
47,8429,1,,
47,8623,1,,
47,9151,1,,
47,9225,1,,
47,9658,1,,
47,10010,1,,
47,10010,1,,
47,10550,1,,
47,11338,1,,
47,11780,1,,
47,11819,1,,
47,11819,1,,
47,11851,1,,
47,11879,1,,
47,11879,1,,
47,11980,1,,
47,12539,1,,
47,12574,1,,
47,13043,1,,
47,13043,1,,
47,14073,1,,
47,14088,1,,
47,14342,1,,
47,14877,1,,
47,14877,1,,
47,16794,1,,
47,17056,1,,
47,17522,1,,
47,17694,1,,
47,17798,1,,
47,18800,1,,
47,20338,1,,
47,20653,1,,
47,20810,1,,
47,21772,1,,
47,21886,1,,
47,23034,1,,
47,25053,1,,
47,26447,1,,
47,26555,1,,
47,27899,1,,
47,27899,1,,
47,28292,1,,
47,29924,1,,
47,29924,1,,
47,30744,1,,
47,31000,1,,
47,32311,1,,
47,33715,1,,
47,34134,1,,
47,35807,1,,
47,36129,1,,
47,36261,1,,
47,36590,1,,
47,36931,1,,
47,37147,1,,
47,38704,1,,
47,40044,1,,
47,40916,1,,
47,46416,1,,
47,46609,1,,
47,49627,1,,
47,50600,1,,
47,52464,1,,
47,53598,1,,
47,54613,1,,
47,54695,1,,
47,54695,1,,
47,59452,1,,
47,62931,1,,
47,71643,1,,
47,77960,1,,
47,79442,1,,
47,80523,1,,
47,93597,1,,
47,96701,1,,
47,99832,1,,
47,102576,1,,
47,107933,1,,
47,111986,1,,
47,112249,1,,
47,112555,1,,
47,115020,1,,
47,118082,1,,
47,121575,1,,
47,123027,1,,
47,123672,1,,
47,147510,1,,
47,154414,1,,
47,156160,1,,
47,161587,1,,
47,178912,1,,
47,200532,1,,
47,223380,1,,
47,235744,1,,
47,238945,1,,
47,239054,1,,
47,243431,1,,
47,251208,1,,
47,262743,1,,
47,275537,1,,
47,302782,1,,
47,302782,1,,
47,306908,1,,
47,449313,1,,
47,550379,1,,
47,583753,1,,
47,583753,1,,
47,592471,1,,
47,641622,1,,
47,645540,1,,
47,682644,1,,
47,743378,1,,
47,758311,1,,
47,786018,1,,
47,786018,1,,
47,882750,1,,
47,882750,1,,
47,884142,1,,
47,916937,1,,
47,971708,1,,
47,976029,1,,
47,998322,1,,
47,1015055,1,,
47,1062714,1,,
47,1097576,1,,
47,1219644,1,,
47,1259494,1,,
47,1313320,1,,
47,1356635,1,,
47,1406293,1,,
47,1415887,1,,
47,1485402,1,,
47,1565546,1,,
47,1588908,1,,
47,1636906,1,,
47,1670215,1,,
47,1696913,1,,
47,1807739,1,,
47,1837115,1,,
47,1860879,1,,
47,1860879,1,,
47,1884761,1,,
47,1887516,1,,
47,1899126,1,,
47,1919989,1,,
47,1937275,1,,
47,2029890,1,,
47,2145749,1,,
47,2202285,1,,
47,2252297,1,,
47,2254896,1,,
47,2255046,1,,
47,2259088,1,,
47,2349413,1,,
47,2371627,1,,
47,2599279,1,,
47,2633288,1,,
47,2657906,1,,
47,2745561,1,,
47,2750015,1,,
47,2835220,1,,
47,2855935,1,,
47,2922384,1,,
47,2933825,1,,
47,2990181,1,,
47,2997129,1,,
47,2997485,1,,
47,3109026,1,,
47,3132058,1,,
47,3135545,1,,
47,3158328,1,,
47,3173512,1,,
47,3218918,1,,
47,3252683,1,,
47,3299226,1,,
47,3390464,1,,
47,3446844,1,,
47,3600398,1,,
47,3788637,1,,
47,3844398,1,,
47,3932793,1,,
47,4000636,1,,
47,4237637,1,,
47,4306540,1,,
47,4578448,1,,
47,4916740,1,,
47,4918109,1,,
47,4929160,1,,
47,4992500,1,,
47,5132002,1,,
47,5283768,1,,
47,5361631,1,,
67,10,1,,
67,71,1,,
67,94,1,,
67,799,1,,
67,864,1,,
67,2890,1,,
67,4388,1,,
67,8700,1,,
67,9866,1,,
67,13990,1,,
67,17327,1,,
67,19252,1,,
67,43554,1,,
67,44660,1,,
67,90674,1,,
67,107933,1,,
67,154113,1,,
67,204980,1,,
67,285443,1,,
67,3739051,1,,
107,5889,1,,
107,116746,1,,
107,163398,1,,
107,203715,1,,
107,473801,1,,
107,488651,1,,
107,645059,1,,
107,1018472,1,,
107,1370377,1,,
107,1912836,1,,
301,284,1,,
301,581,1,,
301,13758,1,,
301,21578,1,,
301,21721,1,,
301,24766,1,,
301,29671,1,,
301,54991,1,,
301,59753,1,,
301,67529,1,,
301,104057,1,,
301,128264,1,,
301,141741,1,,
301,145252,1,,
301,180822,1,,
301,184458,1,,
301,402577,1,,
301,468062,1,,
301,580099,1,,
301,581848,1,,
301,741331,1,,
301,915940,1,,
301,998660,1,,
301,1353232,1,,
301,1454508,1,,
301,1940096,1,,
301,3108362,1,,
304,634,1,,
304,1088,1,,
304,1620,1,,
304,2122,1,,
304,2898,1,,
304,4090,1,,
304,4311,1,,
304,4454,1,,
304,4516,1,,
304,4902,1,,
304,5124,1,,
304,6670,1,,
304,6806,1,,
304,7393,1,,
304,8505,1,,
304,9419,1,,
304,9866,1,,
304,10692,1,,
304,11087,1,,
304,11087,1,,
304,12347,1,,
304,13911,1,,
304,14550,1,,
304,15397,1,,
304,15872,1,,
304,16527,1,,
304,16997,1,,
304,17167,1,,
304,17327,1,,
304,20344,1,,
304,21813,1,,
304,22807,1,,
304,27165,1,,
304,29177,1,,
304,29387,1,,
304,31038,1,,
304,31908,1,,
304,33171,1,,
304,33915,1,,
304,34653,1,,
304,38259,1,,
304,38785,1,,
304,39112,1,,
304,40506,1,,
304,40783,1,,
304,41239,1,,
304,41843,1,,
304,45069,1,,
304,45631,1,,
304,49421,1,,
304,50247,1,,
304,51294,1,,
304,54116,1,,
304,54332,1,,
304,59018,1,,
304,62880,1,,
