follower_id,repo_id,rating
1,114,1
1,295,1
1,311,1
1,337,1
1,496,1
1,528,1
1,1018,1
1,1362,1
1,1365,1
1,1434,1
1,1646,1
1,1768,1
1,1920,1
1,2691,1
1,3143,1
1,3714,1
1,3931,1
1,4307,1
1,4656,1
1,4711,1
1,5101,1
1,5192,1
1,5230,1
1,5672,1
1,5791,1
1,6706,1
1,6782,1
1,7033,1
1,7048,1
1,7462,1
1,7747,1
1,7845,1
1,7898,1
1,7949,1
1,8525,1
1,8808,1
1,9047,1
1,9280,1
1,9951,1
1,10215,1
1,10610,1
1,11511,1
1,11911,1
1,14061,1
1,14328,1
1,18045,1
1,18784,1
1,24618,1
1,25777,1
1,26676,1
1,26725,1
1,33493,1
1,33550,1
1,36713,1
1,37361,1
1,39144,1
1,40117,1
1,51312,1
1,52310,1
1,52837,1
1,56978,1
1,57112,1
1,57326,1
1,58255,1
1,61722,1
1,62686,1
1,66034,1
1,66818,1
1,74910,1
1,79259,1
1,90534,1
1,103498,1
1,106139,1
1,121162,1
1,153822,1
1,154584,1
1,160935,1
1,168525,1
1,185213,1
1,204905,1
1,245488,1
1,260331,1
1,264996,1
1,319514,1
1,323386,1
1,325751,1
1,398504,1
1,449382,1
1,491456,1
1,605360,1
1,704877,1
1,724877,1
1,798574,1
1,931265,1
1,957518,1
1,1018733,1
1,1086047,1
1,1307646,1
1,1308404,1
1,1367286,1
1,1412604,1
1,1434589,1
1,1525876,1
1,1577964,1
1,1847088,1
80,37,1
80,100,1
80,334,1
80,402,1
80,496,1
80,528,1
80,683,1
80,931,1
80,940,1
80,964,1
80,1365,1
80,1434,1
80,1779,1
80,2194,1
80,2414,1
80,2675,1
80,2876,1
80,3229,1
80,3377,1
80,3595,1
80,3656,1
80,3818,1
80,3914,1
80,5483,1
80,5635,1
80,5791,1
80,6177,1
80,6238,1
80,6419,1
80,9176,1
80,10886,1
80,11289,1
80,11788,1
80,15015,1
80,16592,1
80,18877,1
80,23053,1
80,25413,1
80,25463,1
80,25963,1
80,26684,1
80,29282,1
80,29639,1
80,30344,1
80,31849,1
80,32201,1
80,34296,1
80,34825,1
80,35375,1
80,37763,1
80,37811,1
80,38056,1
80,43325,1
80,43680,1
80,46267,1
80,50903,1
80,55283,1
80,58461,1
80,72280,1
80,106342,1
80,118036,1
80,146476,1
80,169625,1
80,485604,1
80,759658,1
80,766954,1
80,940129,1
80,1030067,1
80,1299786,1
80,1412159,1
80,1453713,1
80,1874424,1
80,2205541,1
80,2240555,1
80,2247676,1
80,2598937,1
80,2729995,1
80,2804021,1
80,3179286,1
80,3256937,1
80,3543105,1
80,3825055,1
80,3896502,1
80,3904142,1
80,4044687,1
80,4256968,1
80,4291501,1
80,4826509,1
80,4849874,1
80,4928927,1
80,4931267,1
80,5071769,1
80,5302234,1
203,1432,1
203,1589,1
203,2931,1
203,4067,1
203,5446,1
203,5791,1
203,9047,1
203,14043,1
203,22418,1
203,24981,1
203,34618,1
203,76147,1
203,96074,1
203,589826,1
203,1377198,1
203,1628425,1
203,1795309,1
203,1874443,1
203,1963989,1
203,2257264,1
304,114,1
304,295,1
304,334,1
304,337,1
304,392,1
304,392,1
304,402,1
304,402,1
304,402,1
304,496,1
304,528,1
304,528,1
304,530,1
304,540,1
304,675,1
304,708,1
304,708,1
304,844,1
304,849,1
304,867,1
304,940,1
304,940,1
304,1018,1
304,1018,1
304,1018,1
304,1018,1
304,1018,1
304,1127,1
304,1285,1
304,1312,1
304,1409,1
304,1434,1
304,1434,1
304,1537,1
304,1566,1
304,1566,1
304,1566,1
304,1650,1
304,1650,1
304,1700,1
304,1742,1
304,1768,1
304,1920,1
304,1920,1
304,1941,1
304,2007,1
304,2067,1
304,2233,1
304,2233,1
304,2310,1
304,2310,1
304,2760,1
304,2849,1
304,2849,1
304,2849,1
304,2876,1
304,2931,1
304,2931,1
304,3137,1
304,3143,1
304,3246,1
304,3246,1
304,3349,1
304,3377,1
304,3377,1
304,3377,1
304,3468,1
304,3519,1
304,3545,1
304,3644,1
304,3818,1
304,3912,1
304,3948,1
304,4193,1
304,4232,1
304,4386,1
304,4476,1
304,4492,1
304,4718,1
304,4784,1
304,4826,1
304,4867,1
304,4964,1
304,4964,1
304,4986,1
304,4986,1
304,5093,1
304,5101,1
304,5224,1
304,5230,1
304,5230,1
304,5230,1
304,5313,1
304,5313,1
304,5313,1
304,5313,1
304,5514,1
304,5717,1
304,5722,1
304,5791,1
304,6050,1
304,6057,1
304,6072,1
304,6072,1
304,6072,1
304,6238,1
304,6292,1
304,6301,1
304,6313,1
304,6313,1
304,6313,1
304,6419,1
304,6719,1
304,6782,1
304,6782,1
304,7033,1
304,7048,1
304,7074,1
304,7261,1
304,7261,1
304,7711,1
304,7774,1
304,7802,1
304,7949,1
304,8136,1
304,8160,1
304,8316,1
304,8445,1
